# id node_number1 node_number2 value
4 12100 12104 1.414
6 12100 12106 1.199
7 12100 12107 1.141
10 12100 12110 1.761
11 12100 12111 1.646
12 12100 12112 1.375
15 12100 12115 1.183
176 12100 12276 2.437
177 12100 12277 1.117
472 12100 12572 1.13
474 12100 12574 1.181
485 12100 12585 4.887
486 12100 12586 6.007
519 12100 12619 1.638
520 12100 12620 2.855
882 12101 12102 1.038
883 12101 12103 1.189
884 12101 12104 6.615
885 12101 12105 4.101
886 12101 12106 6.9
887 12101 12107 5.891
888 12101 12108 3.83
889 12101 12109 5.458
890 12101 12110 12.417
891 12101 12111 9.055
892 12101 12112 8.775
893 12101 12113 5.455
894 12101 12114 7.235
895 12101 12115 7.283
896 12101 12116 2.275
914 12101 12134 1.384
916 12101 12136 3.418
917 12101 12137 1.811
918 12101 12138 3.118
919 12101 12139 1.971
920 12101 12140 2.05
922 12101 12142 2.503
926 12101 12146 3.194
927 12101 12147 1.992
928 12101 12148 2.658
929 12101 12149 2.615
930 12101 12150 1.011
931 12101 12151 1.412
963 12101 12183 1.881
964 12101 12184 2.621
966 12101 12186 1.552
967 12101 12187 3.161
974 12101 12194 5.995
975 12101 12195 3.322
979 12101 12199 1.292
981 12101 12201 1.651
982 12101 12202 2.99
984 12101 12204 3.863
985 12101 12205 1.829
986 12101 12206 1.334
987 12101 12207 1.997
988 12101 12208 1.728
989 12101 12209 1.098
990 12101 12210 3.689
991 12101 12211 1.588
992 12101 12212 2.274
994 12101 12214 4.243
995 12101 12215 4.719
996 12101 12216 4.317
997 12101 12217 2.027
998 12101 12218 4.392
999 12101 12219 3.232
1000 12101 12220 5.841
1001 12101 12221 3.568
1002 12101 12222 3.483
1003 12101 12223 3.877
1012 12101 12232 2.436
1013 12101 12233 1.979
1014 12101 12234 1.112
1016 12101 12236 1.714
1017 12101 12237 2.844
1018 12101 12238 2.042
1019 12101 12239 4.664
1022 12101 12242 1.505
1023 12101 12243 2.778
1024 12101 12244 2.448
1025 12101 12245 2.266
1026 12101 12246 1.688
1027 12101 12247 4.015
1028 12101 12248 1.048
1030 12101 12250 2.06
1032 12101 12252 2.57
1033 12101 12253 2.744
1034 12101 12254 4.461
1041 12101 12261 1.515
1043 12101 12263 1.237
1044 12101 12264 2.023
1049 12101 12269 1.02
1050 12101 12270 3.058
1051 12101 12271 1.364
1052 12101 12272 1.278
1056 12101 12276 10.423
1057 12101 12277 4.717
1059 12101 12279 5.106
1060 12101 12280 2.431
1062 12101 12282 1.11
1063 12101 12283 1.247
1064 12101 12284 1.961
1067 12101 12287 4.319
1072 12101 12292 3.179
1074 12101 12294 2.486
1080 12101 12300 1.452
1084 12101 12304 1.864
1085 12101 12305 2.491
1087 12101 12307 1.835
1088 12101 12308 1.399
1089 12101 12309 1.088
1099 12101 12319 9.01
1102 12101 12322 1.242
1108 12101 12328 5.017
