# id node_number1 node_number2 value
1 14528 14529 9.92
2 14528 14530 21.41
3 14528 14531 14.43
4 14528 14532 53.05
5 14528 14533 33.07
6 14528 14534 32.22
7 14528 14535 4.39
8 14528 14536 3.51
9 14528 14537 5.28
10 14528 14538 6.29
11 14528 14539 4.05
12 14528 14540 9.85
13 14528 14541 3.73
14 14528 14542 5.47
15 14528 14543 4.97
16 14528 14544 4.28
17 14528 14545 4.72
18 14528 14546 3.42
19 14528 14547 1.36
20 14528 14548 3.93
21 14528 14549 5.01
22 14528 14550 5.19
23 14529 14528 9.23
24 14529 14530 12.6
25 14529 14531 13.15
26 14529 14532 34.87
27 14529 14533 30.07
28 14529 14534 23.8
29 14529 14535 4.54
30 14529 14536 2.21
31 14529 14537 4.98
32 14529 14538 3.93
33 14529 14539 3.88
34 14529 14540 6.68
35 14529 14541 3.45
36 14529 14542 3.87
37 14529 14543 4.38
38 14529 14544 3.28
39 14529 14545 5.29
40 14529 14546 3.11
41 14529 14547 1.4
42 14529 14548 3.08
43 14529 14549 5.01
44 14529 14550 3.37
45 14530 14528 19.84
46 14530 14529 12.5
47 14530 14531 20.36
48 14530 14532 62.53
49 14530 14533 42.45
50 14530 14534 47.32
51 14530 14535 6.25
52 14530 14536 4.6
53 14530 14537 6.61
54 14530 14538 8.51
55 14530 14539 5.01
56 14530 14540 13.34
57 14530 14541 4.52
58 14530 14542 7.8
59 14530 14543 5.64
60 14530 14544 6.42
61 14530 14545 7.69
62 14530 14546 5.27
63 14530 14547 2.06
64 14530 14548 5.88
65 14530 14549 7.33
66 14530 14550 6.76
67 14531 14528 14.18
68 14531 14529 13.88
69 14531 14530 21.7
70 14531 14532 45.4
71 14531 14533 39.08
72 14531 14534 36.91
73 14531 14535 4.85
74 14531 14536 3.03
75 14531 14537 8
76 14531 14538 6.64
77 14531 14539 5.08
78 14531 14540 10.65
79 14531 14541 5.65
80 14531 14542 6.17
81 14531 14543 6.48
82 14531 14544 4.98
83 14531 14545 6.58
84 14531 14546 4.07
85 14531 14547 1.74
86 14531 14548 4.13
87 14531 14549 7.47
88 14531 14550 5.67
89 14532 14528 50.83
90 14532 14529 35.89
91 14532 14530 64.72
92 14532 14531 44.14
93 14532 14533 75.83
94 14532 14534 104.93
95 14532 14535 10.89
96 14532 14536 8.64
97 14532 14537 15.81
98 14532 14538 22.6
99 14532 14539 12.15
100 14532 14540 32.09
101 14532 14541 12.5
102 14532 14542 20.4
103 14532 14543 13.09
104 14532 14544 14.43
105 14532 14545 16.57
106 14532 14546 11.88
107 14532 14547 4.65
108 14532 14548 13.68
109 14532 14549 19.01
110 14532 14550 18.3
111 14533 14528 31.4
112 14533 14529 30.69
113 14533 14530 43.73
114 14533 14531 37.78
115 14533 14532 75.3
116 14533 14534 41.39
117 14533 14535 8.26
118 14533 14536 3.9
119 14533 14537 9.31
120 14533 14538 9.12
121 14533 14539 8.98
122 14533 14540 15.37
123 14533 14541 7.94
124 14533 14542 10.55
125 14533 14543 8.45
126 14533 14544 6.23
127 14533 14545 13.66
128 14533 14546 6.39
129 14533 14547 2.96
130 14533 14548 6.34
131 14533 14549 13.38
132 14533 14550 9.79
133 14534 14528 31.63
134 14534 14529 25.12
135 14534 14530 50.16
136 14534 14531 36.83
137 14534 14532 107.53
138 14534 14533 42.77
139 14534 14535 8.46
140 14534 14536 5.47
141 14534 14537 8.19
142 14534 14538 10.15
143 14534 14539 6.97
144 14534 14540 19.69
145 14534 14541 6.91
146 14534 14542 11.49
147 14534 14543 5.9
148 14534 14544 6.62
149 14534 14545 10.24
150 14534 14546 5.5
151 14534 14547 2.24
152 14534 14548 6.61
153 14534 14549 10.7
154 14534 14550 11.34
155 14535 14528 5.09
156 14535 14529 4.09
157 14535 14530 8.08
158 14535 14531 4.14
159 14535 14532 13.42
160 14535 14533 7.29
161 14535 14534 10.05
162 14535 14536 16.95
163 14535 14537 36.74
164 14535 14538 52.12
165 14535 14539 22.94
166 14535 14540 51.11
167 14535 14541 26.34
168 14535 14542 44.53
169 14535 14543 33.82
170 14535 14544 33.26
171 14535 14545 37.93
172 14535 14546 21.89
173 14535 14547 6.94
174 14535 14548 27.23
175 14535 14549 40.59
176 14535 14550 43.59
177 14536 14528 2.6
178 14536 14529 2.78
179 14536 14530 3.68
180 14536 14531 3.44
181 14536 14532 6.67
182 14536 14533 4.7
183 14536 14534 4.13
184 14536 14535 16.33
185 14536 14537 18.77
186 14536 14538 23.76
187 14536 14539 17.24
188 14536 14540 28.44
189 14536 14541 14.43
190 14536 14542 22
191 14536 14543 20.97
192 14536 14544 17.09
193 14536 14545 29.42
194 14536 14546 15.24
195 14536 14547 6.31
196 14536 14548 16.98
197 14536 14549 31.75
198 14536 14550 27.25
199 14537 14528 5.69
200 14537 14529 3.82
201 14537 14530 8.19
202 14537 14531 5.85
203 14537 14532 18.39
204 14537 14533 7.01
205 14537 14534 9.13
206 14537 14535 35.06
207 14537 14536 18.53
208 14537 14538 41.41
209 14537 14539 35.3
210 14537 14540 63.55
211 14537 14541 23.36
212 14537 14542 38.44
213 14537 14543 33.12
214 14537 14544 31.98
215 14537 14545 53.67
216 14537 14546 30.07
217 14537 14547 12.27
218 14537 14548 32.74
219 14537 14549 60.14
220 14537 14550 54.47
221 14538 14528 4.61
222 14538 14529 4.91
223 14538 14530 6.69
224 14538 14531 7.49
225 14538 14532 17.23
226 14538 14533 10.94
227 14538 14534 7.56
228 14538 14535 50.01
229 14538 14536 23.65
230 14538 14537 41.75
231 14538 14539 40.54
232 14538 14540 75.23
233 14538 14541 31.96
234 14538 14542 38.36
235 14538 14543 34.34
236 14538 14544 28.02
237 14538 14545 58.05
238 14538 14546 27.72
239 14538 14547 12.33
240 14538 14548 29.82
241 14538 14549 65
242 14538 14550 56.86
243 14539 14528 4.49
244 14539 14529 3.19
245 14539 14530 6.32
246 14539 14531 3.97
247 14539 14532 14.48
248 14539 14533 7.23
249 14539 14534 7.96
250 14539 14535 22.31
251 14539 14536 17.38
252 14539 14537 36.01
253 14539 14538 41.05
254 14539 14540 45.25
255 14539 14541 24.61
256 14539 14542 38.03
257 14539 14543 30.19
258 14539 14544 30.22
259 14539 14545 28.22
260 14539 14546 17.27
261 14539 14547 5.4
262 14539 14548 19.29
263 14539 14549 38.87
264 14539 14550 38.96
265 14540 14528 8.31
266 14540 14529 8.66
267 14540 14530 12.18
268 14540 14531 12.75
269 14540 14532 28.33
270 14540 14533 19.35
271 14540 14534 16.94
272 14540 14535 51.39
273 14540 14536 29.62
274 14540 14537 67.09
275 14540 14538 78.68
276 14540 14539 46.84
277 14540 14541 42.06
278 14540 14542 60.36
279 14540 14543 65.39
280 14540 14544 53.47
281 14540 14545 96.12
282 14540 14546 38.79
283 14540 14547 14.05
284 14540 14548 50.93
285 14540 14549 64.22
286 14540 14550 66.51
287 14541 14528 4.02
288 14541 14529 2.67
289 14541 14530 5.61
290 14541 14531 4.14
291 14541 14532 14.58
292 14541 14533 6.01
293 14541 14534 7.73
294 14541 14535 25.17
295 14541 14536 14.27
296 14541 14537 23.39
297 14541 14538 31.75
298 14541 14539 24.17
299 14541 14540 39.9
300 14541 14542 25.73
301 14541 14543 24.74
302 14541 14544 23.44
303 14541 14545 38.6
304 14541 14546 22.54
305 14541 14547 9.19
306 14541 14548 24.24
307 14541 14549 35.22
308 14541 14550 33.42
309 14542 14528 4.78
310 14542 14529 5.08
311 14542 14530 7.36
312 14542 14531 7.49
313 14542 14532 18.65
314 14542 14533 13.45
315 14542 14534 10.24
316 14542 14535 45.3
317 14542 14536 23.26
318 14542 14537 40.97
319 14542 14538 40.71
320 14542 14539 39.8
321 14542 14540 61.28
322 14542 14541 27.39
323 14542 14543 33.43
324 14542 14544 28.25
325 14542 14545 57.58
326 14542 14546 20
327 14542 14547 8.92
328 14542 14548 28.16
329 14542 14549 44.29
330 14542 14550 40.55
331 14543 14528 5.62
332 14543 14529 3.76
333 14543 14530 7.19
334 14543 14531 5.25
335 14543 14532 15.82
336 14543 14533 7.09
337 14543 14534 6.86
338 14543 14535 33.38
339 14543 14536 21.33
340 14543 14537 34.33
341 14543 14538 35.1
342 14543 14539 30.67
343 14543 14540 63.81
344 14543 14541 25.6
345 14543 14542 32.27
346 14543 14544 24.41
347 14543 14545 42.85
348 14543 14546 20.19
349 14543 14547 8.16
350 14543 14548 22.52
351 14543 14549 37.08
352 14543 14550 35.45
353 14544 14528 3.16
354 14544 14529 4.11
355 14544 14530 5.11
356 14544 14531 5.63
357 14544 14532 11.11
358 14544 14533 7.5
359 14544 14534 4.97
360 14544 14535 31.86
361 14544 14536 17.1
362 14544 14537 32.15
363 14544 14538 28.16
364 14544 14539 29.77
365 14544 14540 51.33
366 14544 14541 23.52
367 14544 14542 26.72
368 14544 14543 23.83
369 14544 14545 37.36
370 14544 14546 23.28
371 14544 14547 9.04
372 14544 14548 18.43
373 14544 14549 34.31
374 14544 14550 27.05
375 14545 14528 5.12
376 14545 14529 4.14
377 14545 14530 9.57
378 14545 14531 4.88
379 14545 14532 19.39
380 14545 14533 10.45
381 14545 14534 11.48
382 14545 14535 36.35
383 14545 14536 29.17
384 14545 14537 53.92
385 14545 14538 57.84
386 14545 14539 27.79
387 14545 14540 91.46
388 14545 14541 38.72
389 14545 14542 54.22
390 14545 14543 41.55
391 14545 14544 37.33
392 14545 14546 31.8
393 14545 14547 10.09
394 14545 14548 27.85
395 14545 14549 58.29
396 14545 14550 54.1
397 14546 14528 4.23
398 14546 14529 4.38
