# id node_number1 node_number2 value
1 14546 14547 4.026
2 14546 14548 7.716
3 14546 14549 9.144
4 14546 14550 11.478
5 14546 14551 9.39
6 14546 14552 5.418
7 14546 14553 4.158
8 14546 14554 3.462
9 14546 14555 8.706
10 14546 14556 19.986
11 14546 14557 2.988
12 14546 14558 3.714
13 14546 14559 8.19
14 14546 14560 7.944
15 14546 14561 3.75
16 14546 14562 5.772
17 14546 14563 8.736
18 14546 14564 16.872
19 14546 14565 12.714
20 14546 14566 12.816
21 14546 14567 0.9
22 14546 14568 2.124
23 14546 14569 4.146
24 14546 14570 4.44
25 14546 14571 3.774
26 14546 14572 3.816
27 14546 14573 1.11
28 14546 14574 4.014
29 14546 14575 1.536
30 14546 14576 2.694
31 14546 14577 1.092
32 14546 14578 5.526
33 14546 14579 7.77
34 14546 14580 7.29
35 14546 14581 4.968
36 14547 14546 4.092
37 14547 14548 3.042
38 14547 14549 5.49
39 14547 14550 7.86
40 14547 14551 7.842
41 14547 14552 5.172
42 14547 14553 4.65
43 14547 14554 1.716
44 14547 14555 10.914
45 14547 14556 20.61
46 14547 14557 2.226
47 14547 14558 2.802
48 14547 14559 8.196
49 14547 14560 6.306
50 14547 14561 3.942
51 14547 14562 5.412
52 14547 14563 6.288
53 14547 14564 7.464
54 14547 14565 11.7
55 14547 14566 5.292
56 14547 14567 0.432
57 14547 14568 0.93
58 14547 14569 1.596
59 14547 14570 3.552
60 14547 14571 3.414
61 14547 14572 2.13
62 14547 14573 0.702
63 14547 14574 3.264
64 14547 14575 1.98
65 14547 14576 2.298
66 14547 14577 0.828
67 14547 14578 5.676
68 14547 14579 7.014
69 14547 14580 4.932
70 14547 14581 3.24
71 14548 14546 7.872
72 14548 14547 3.06
73 14548 14549 11.184
74 14548 14550 21.198
75 14548 14551 18.414
76 14548 14552 10.752
77 14548 14553 10.902
78 14548 14554 4.506
79 14548 14555 21.462
80 14548 14556 42.018
81 14548 14557 4.482
82 14548 14558 6.732
83 14548 14559 15.9
84 14548 14560 16.674
85 14548 14561 8.034
86 14548 14562 11.652
87 14548 14563 11.964
88 14548 14564 14.478
89 14548 14565 22.038
90 14548 14566 9.528
91 14548 14567 0.552
92 14548 14568 1.62
93 14548 14569 3
94 14548 14570 8.184
95 14548 14571 7.242
96 14548 14572 4.572
97 14548 14573 1.356
98 14548 14574 7.566
99 14548 14575 4.152
100 14548 14576 5.37
101 14548 14577 1.626
102 14548 14578 11.226
103 14548 14579 14.916
104 14548 14580 8.832
105 14548 14581 6.354
106 14549 14546 9.192
107 14549 14547 5.346
108 14549 14548 11.016
109 14549 14550 15.648
110 14549 14551 14.178
111 14549 14552 7.014
112 14549 14553 5.28
113 14549 14554 3.384
114 14549 14555 15.6
115 14549 14556 28.368
116 14549 14557 5.622
117 14549 14558 5.028
118 14549 14559 11.196
119 14549 14560 12.156
120 14549 14561 5.64
121 14549 14562 6.9
122 14549 14563 10.068
123 14549 14564 15.204
124 14549 14565 16.29
125 14549 14566 12.27
126 14549 14567 1.71
127 14549 14568 2.514
128 14549 14569 4.002
129 14549 14570 5.652
130 14549 14571 4.332
131 14549 14572 3.498
132 14549 14573 1.236
133 14549 14574 2.604
134 14549 14575 1.998
135 14549 14576 2.112
136 14549 14577 1.026
137 14549 14578 6.3
138 14549 14579 6.66
139 14549 14580 7.578
140 14549 14581 4.272
141 14550 14546 10.692
142 14550 14547 7.71
143 14550 14548 20.466
144 14550 14549 15.432
145 14550 14551 10.392
146 14550 14552 6.894
147 14550 14553 5.952
148 14550 14554 5.274
149 14550 14555 11.406
150 14550 14556 28.698
151 14550 14557 6.114
152 14550 14558 5.37
153 14550 14559 13.05
154 14550 14560 7.314
155 14550 14561 4.704
156 14550 14562 7.662
157 14550 14563 17.232
158 14550 14564 36.816
159 14550 14565 24.558
160 14550 14566 31.512
161 14550 14567 3.402
162 14550 14568 5.982
163 14550 14569 8.124
164 14550 14570 8.79
165 14550 14571 5.118
166 14550 14572 6.816
167 14550 14573 2.172
168 14550 14574 4.65
169 14550 14575 1.542
170 14550 14576 3.132
171 14550 14577 1.908
172 14550 14578 8.838
173 14550 14579 9.768
174 14550 14580 16.704
175 14550 14581 9.744
176 14551 14546 9.348
177 14551 14547 7.482
178 14551 14548 18.06
179 14551 14549 13.572
180 14551 14550 10.452
181 14551 14552 4.74
182 14551 14553 5.556
183 14551 14554 4.032
184 14551 14555 8.706
185 14551 14556 21.198
186 14551 14557 5.04
187 14551 14558 4.026
188 14551 14559 8.91
189 14551 14560 6.636
190 14551 14561 3.258
191 14551 14562 5.496
192 14551 14563 13.968
193 14551 14564 28.542
194 14551 14565 19.656
195 14551 14566 24.75
196 14551 14567 2.574
197 14551 14568 4.068
198 14551 14569 5.832
199 14551 14570 6.048
200 14551 14571 4.824
201 14551 14572 4.788
202 14551 14573 1.878
203 14551 14574 3.744
204 14551 14575 2.028
205 14551 14576 2.4
206 14551 14577 1.83
207 14551 14578 7.908
208 14551 14579 9.87
209 14551 14580 13.764
210 14551 14581 8.586
211 14552 14546 5.136
212 14552 14547 5.076
213 14552 14548 10.41
214 14552 14549 6.942
215 14552 14550 7.074
216 14552 14551 4.728
217 14552 14553 2.766
218 14552 14554 3.054
219 14552 14555 4.716
220 14552 14556 9.894
221 14552 14557 3.354
222 14552 14558 2.61
223 14552 14559 5.022
224 14552 14560 4.314
225 14552 14561 1.77
226 14552 14562 2.634
227 14552 14563 7.608
228 14552 14564 17.214
229 14552 14565 9.594
230 14552 14566 14.85
231 14552 14567 1.32
232 14552 14568 2.61
233 14552 14569 2.976
234 14552 14570 3.342
235 14552 14571 2.238
236 14552 14572 2.868
237 14552 14573 0.966
238 14552 14574 2.58
239 14552 14575 0.816
240 14552 14576 1.56
241 14552 14577 0.942
242 14552 14578 4.608
243 14552 14579 5.592
244 14552 14580 8.73
245 14552 14581 5.418
246 14553 14546 4.134
247 14553 14547 4.452
248 14553 14548 10.686
249 14553 14549 5.106
250 14553 14550 5.988
251 14553 14551 5.736
252 14553 14552 2.766
253 14553 14554 1.728
254 14553 14555 5.154
255 14553 14556 10.926
256 14553 14557 3.24
257 14553 14558 2.388
258 14553 14559 4.686
259 14553 14560 4.278
260 14553 14561 2.22
261 14553 14562 2.538
262 14553 14563 5.466
263 14553 14564 10.476
264 14553 14565 7.68
265 14553 14566 9.69
266 14553 14567 1.356
267 14553 14568 1.944
268 14553 14569 2.64
269 14553 14570 2.55
270 14553 14571 1.596
271 14553 14572 1.878
272 14553 14573 0.72
273 14553 14574 0.612
274 14553 14575 0.504
275 14553 14576 0.504
276 14553 14577 0.498
277 14553 14578 2.244
278 14553 14579 2.166
279 14553 14580 4.674
280 14553 14581 2.466
281 14554 14546 3.522
282 14554 14547 1.692
283 14554 14548 4.446
284 14554 14549 3.378
285 14554 14550 5.67
286 14554 14551 4.062
287 14554 14552 3.234
288 14554 14553 1.746
289 14554 14555 4.212
290 14554 14556 12.408
291 14554 14557 1.902
292 14554 14558 2.082
293 14554 14559 4.134
294 14554 14560 4.416
295 14554 14561 2.076
296 14554 14562 3.18
297 14554 14563 3.618
298 14554 14564 6.018
299 14554 14565 6.306
300 14554 14566 5.058
301 14554 14567 0.486
302 14554 14568 0.906
303 14554 14569 1.17
304 14554 14570 2.04
305 14554 14571 1.452
306 14554 14572 1.332
307 14554 14573 0.42
308 14554 14574 1.296
309 14554 14575 0.756
310 14554 14576 0.96
311 14554 14577 0.402
312 14554 14578 2.526
313 14554 14579 3.492
314 14554 14580 3.138
315 14554 14581 2.124
316 14555 14546 8.604
317 14555 14547 10.38
318 14555 14548 21.012
319 14555 14549 14.838
320 14555 14550 11.364
321 14555 14551 8.694
322 14555 14552 4.674
323 14555 14553 4.932
324 14555 14554 4.146
325 14555 14556 15.87
326 14555 14557 7.302
327 14555 14558 5.634
328 14555 14559 11.43
329 14555 14560 8.034
330 14555 14561 4.02
331 14555 14562 5.844
332 14555 14563 13.674
333 14555 14564 29.496
334 14555 14565 20.22
335 14555 14566 27.162
336 14555 14567 2.814
337 14555 14568 4.662
338 14555 14569 5.496
339 14555 14570 5.454
340 14555 14571 3.606
341 14555 14572 4.716
342 14555 14573 1.8
343 14555 14574 2.736
344 14555 14575 1.164
345 14555 14576 1.83
346 14555 14577 1.542
347 14555 14578 6.618
348 14555 14579 7.626
349 14555 14580 14.358
350 14555 14581 8.55
351 14556 14546 18.618
352 14556 14547 20.232
353 14556 14548 40.56
354 14556 14549 28.032
355 14556 14550 28.674
356 14556 14551 21.144
357 14556 14552 9.642
358 14556 14553 10.908
359 14556 14554 11.556
360 14556 14555 15.996
361 14556 14557 14.31
362 14556 14558 12.306
363 14556 14559 24.582
364 14556 14560 18.504
365 14556 14561 8.952
366 14556 14562 12.276
367 14556 14563 29.298
368 14556 14564 64.134
369 14556 14565 46.788
370 14556 14566 59.736
371 14556 14567 4.998
372 14556 14568 9.846
373 14556 14569 10.542
374 14556 14570 11.166
375 14556 14571 8.274
376 14556 14572 9.732
377 14556 14573 3.612
378 14556 14574 6.888
379 14556 14575 3.132
380 14556 14576 4.308
381 14556 14577 3.468
382 14556 14578 16.512
383 14556 14579 18.03
384 14556 14580 33.204
385 14556 14581 19.47
386 14557 14546 3.012
387 14557 14547 2.172
388 14557 14548 4.422
389 14557 14549 5.628
390 14557 14550 6.216
391 14557 14551 5.232
392 14557 14552 3.408
393 14557 14553 3.33
394 14557 14554 1.914
395 14557 14555 7.614
396 14557 14556 14.52
397 14557 14558 1.59
398 14557 14559 4.71
399 14557 14560 3.78
400 14557 14561 2.226
401 14557 14562 3.432
402 14557 14563 4.974
403 14557 14564 9.42
404 14557 14565 10.008
405 14557 14566 7.176
406 14557 14567 0.576
407 14557 14568 0.858
408 14557 14569 2.052
409 14557 14570 2.994
410 14557 14571 2.874
411 14557 14572 1.962
412 14557 14573 0.75
413 14557 14574 2.85
414 14557 14575 1.542
415 14557 14576 1.83
416 14557 14577 0.846
417 14557 14578 4.806
418 14557 14579 6
419 14557 14580 5.178
420 14557 14581 3.372
421 14558 14546 3.624
422 14558 14547 2.766
423 14558 14548 6.558
424 14558 14549 5.01
425 14558 14550 5.598
426 14558 14551 4.044
427 14558 14552 2.676
428 14558 14553 2.4
429 14558 14554 2.004
430 14558 14555 5.718
431 14558 14556 12.834
432 14558 14557 1.578
433 14558 14559 3.48
434 14558 14560 3.408
435 14558 14561 1.56
436 14558 14562 2.478
437 14558 14563 4.26
438 14558 14564 11.142
439 14558 14565 7.596
440 14558 14566 9.024
441 14558 14567 0.834
442 14558 14568 1.074
443 14558 14569 2.346
444 14558 14570 2.88
445 14558 14571 2.34
446 14558 14572 2.094
447 14558 14573 0.672
448 14558 14574 2.538
449 14558 14575 1.074
450 14558 14576 1.542
451 14558 14577 0.81
452 14558 14578 4.05
453 14558 14579 5.328
454 14558 14580 5.73
455 14558 14581 3.786
456 14559 14546 8.166
457 14559 14547 7.824
458 14559 14548 15.6
459 14559 14549 10.764
460 14559 14550 13.152
461 14559 14551 8.946
462 14559 14552 5.04
463 14559 14553 4.578
464 14559 14554 4.11
465 14559 14555 11.508
466 14559 14556 24.684
467 14559 14557 4.548
468 14559 14558 3.456
469 14559 14560 7.62
470 14559 14561 3.078
471 14559 14562 4.272
472 14559 14563 8.646
473 14559 14564 23.988
474 14559 14565 12.984
475 14559 14566 18.66
476 14559 14567 2.238
477 14559 14568 2.91
478 14559 14569 5.448
479 14559 14570 5.808
480 14559 14571 4.776
481 14559 14572 4.974
482 14559 14573 1.626
483 14559 14574 5.166
484 14559 14575 2.076
485 14559 14576 3.132
486 14559 14577 1.89
487 14559 14578 8.85
488 14559 14579 11.208
489 14559 14580 14.358
490 14559 14581 9.096
491 14560 14546 7.416
492 14560 14547 6.186
493 14560 14548 16.104
494 14560 14549 11.988
495 14560 14550 7.362
496 14560 14551 6.588
497 14560 14552 4.224
498 14560 14553 4.254
499 14560 14554 4.116
500 14560 14555 8.058
501 14560 14556 18.654
502 14560 14557 3.714
503 14560 14558 3.282
504 14560 14559 7.56
505 14560 14561 2.814
506 14560 14562 4.482
507 14560 14563 11.37
508 14560 14564 27.672
509 14560 14565 17.922
510 14560 14566 23.7
511 14560 14567 2.412
