# id node_number1 node_number2 value
1 14581 14582 2.013
2 14581 14583 3.858
3 14581 14584 4.572
4 14581 14585 5.739
5 14581 14586 4.695
6 14581 14587 2.709
7 14581 14588 2.079
8 14581 14589 1.731
9 14581 14590 4.353
10 14581 14591 9.993
11 14581 14592 1.494
12 14581 14593 1.857
13 14581 14594 4.095
14 14581 14595 3.972
15 14581 14596 1.875
16 14581 14597 2.886
17 14581 14598 4.368
18 14581 14599 8.436
19 14581 14600 6.357
20 14581 14601 6.408
21 14581 14602 0.45
22 14581 14603 1.062
23 14581 14604 2.073
24 14581 14605 2.22
25 14581 14606 1.887
26 14581 14607 1.908
27 14581 14608 0.555
28 14581 14609 2.007
29 14581 14610 0.768
30 14581 14611 1.347
31 14581 14612 0.546
32 14581 14613 2.763
33 14581 14614 3.885
34 14581 14615 3.645
35 14581 14616 2.484
36 14581 14617 1.869
37 14581 14618 0.441
38 14581 14619 1.656
39 14581 14620 1.362
40 14581 14621 1.224
41 14581 14622 1.701
42 14581 14623 1.32
43 14581 14624 0.309
44 14581 14625 0.216
45 14581 14626 0.336
46 14581 14627 0.384
47 14581 14628 0.354
48 14581 14629 0.504
49 14581 14630 0.267
50 14581 14631 0.717
51 14581 14632 0.462
52 14581 14633 0.168
53 14581 14634 0.24
54 14581 14635 0.186
55 14581 14636 0.072
56 14581 14637 1.212
57 14581 14638 0.876
58 14581 14639 1.782
59 14581 14640 0.429
60 14581 14641 0.471
61 14581 14642 0.669
62 14581 14643 0.93
63 14581 14644 1.329
64 14581 14645 0.819
65 14581 14646 0.576
66 14581 14647 1.953
67 14581 14648 0.693
68 14581 14649 0.993
69 14581 14650 0.684
70 14581 14651 0.021
71 14581 14652 0.138
72 14581 14653 2.52
73 14581 14654 1.134
74 14581 14655 0.849
75 14581 14656 0.399
76 14581 14657 0.498
77 14581 14658 0.42
78 14581 14659 0.519
79 14581 14660 0.642
80 14581 14661 0.12
81 14581 14662 0.018
82 14581 14663 0.594
83 14581 14664 0.138
84 14581 14665 0.039
85 14581 14666 0.03
86 14581 14667 0.774
87 14581 14668 0.447
88 14581 14669 0.054
89 14581 14670 0.021
90 14581 14671 2.187
91 14581 14672 1.29
92 14581 14673 1.725
93 14581 14674 0.366
94 14581 14675 0.159
95 14581 14676 0.75
96 14581 14677 0.105
97 14581 14678 0.021
98 14582 14581 2.046
99 14582 14583 1.521
100 14582 14584 2.745
101 14582 14585 3.93
102 14582 14586 3.921
103 14582 14587 2.586
104 14582 14588 2.325
105 14582 14589 0.858
106 14582 14590 5.457
107 14582 14591 10.305
108 14582 14592 1.113
109 14582 14593 1.401
110 14582 14594 4.098
111 14582 14595 3.153
112 14582 14596 1.971
113 14582 14597 2.706
114 14582 14598 3.144
115 14582 14599 3.732
116 14582 14600 5.85
117 14582 14601 2.646
118 14582 14602 0.216
119 14582 14603 0.465
120 14582 14604 0.798
121 14582 14605 1.776
122 14582 14606 1.707
123 14582 14607 1.065
124 14582 14608 0.351
125 14582 14609 1.632
126 14582 14610 0.99
127 14582 14611 1.149
128 14582 14612 0.414
129 14582 14613 2.838
130 14582 14614 3.507
131 14582 14615 2.466
132 14582 14616 1.62
133 14582 14617 2.604
134 14582 14618 0.693
135 14582 14619 2.28
136 14582 14620 2.847
137 14582 14621 1.977
138 14582 14622 3.036
139 14582 14623 2.073
140 14582 14624 0.468
141 14582 14625 0.294
142 14582 14626 0.615
143 14582 14627 0.579
144 14582 14628 0.606
145 14582 14629 0.546
146 14582 14630 0.606
147 14582 14631 0.864
148 14582 14632 0.873
149 14582 14633 0.174
150 14582 14634 0.387
151 14582 14635 0.078
152 14582 14636 0.165
153 14582 14637 1.668
154 14582 14638 0.954
155 14582 14639 2.562
156 14582 14640 0.531
157 14582 14641 0.525
158 14582 14642 0.759
159 14582 14643 1.458
160 14582 14644 1.632
161 14582 14645 0.78
162 14582 14646 0.9
163 14582 14647 1.788
164 14582 14648 1.152
165 14582 14649 1.044
166 14582 14650 1.173
167 14582 14651 0.006
168 14582 14652 0.051
169 14582 14653 2.142
170 14582 14654 1.641
171 14582 14655 0.651
172 14582 14656 0.561
173 14582 14657 0.417
174 14582 14658 0.651
175 14582 14659 0.393
176 14582 14660 0.864
177 14582 14661 0.048
178 14582 14662 0.024
179 14582 14663 0.471
180 14582 14664 0.105
181 14582 14665 0.039
182 14582 14666 0.033
183 14582 14667 0.636
184 14582 14668 0.249
185 14582 14669 0.03
186 14582 14670 0.024
187 14582 14671 1.758
188 14582 14672 1.566
189 14582 14673 1.563
190 14582 14674 0.108
191 14582 14675 0.066
192 14582 14676 0.741
193 14582 14677 0.018
194 14582 14678 0.027
195 14583 14581 3.936
196 14583 14582 1.53
197 14583 14584 5.592
198 14583 14585 10.599
199 14583 14586 9.207
200 14583 14587 5.376
201 14583 14588 5.451
202 14583 14589 2.253
203 14583 14590 10.731
204 14583 14591 21.009
205 14583 14592 2.241
206 14583 14593 3.366
207 14583 14594 7.95
208 14583 14595 8.337
209 14583 14596 4.017
210 14583 14597 5.826
211 14583 14598 5.982
212 14583 14599 7.239
213 14583 14600 11.019
214 14583 14601 4.764
215 14583 14602 0.276
216 14583 14603 0.81
217 14583 14604 1.5
218 14583 14605 4.092
219 14583 14606 3.621
220 14583 14607 2.286
221 14583 14608 0.678
222 14583 14609 3.783
223 14583 14610 2.076
224 14583 14611 2.685
225 14583 14612 0.813
226 14583 14613 5.613
227 14583 14614 7.458
228 14583 14615 4.416
229 14583 14616 3.177
230 14583 14617 5.025
231 14583 14618 1.254
232 14583 14619 4.326
233 14583 14620 4.668
234 14583 14621 3.372
235 14583 14622 5.109
236 14583 14623 3.531
237 14583 14624 0.75
238 14583 14625 0.507
239 14583 14626 0.936
240 14583 14627 1.002
241 14583 14628 0.942
242 14583 14629 1.059
243 14583 14630 0.735
244 14583 14631 1.56
245 14583 14632 1.296
246 14583 14633 0.303
247 14583 14634 0.603
248 14583 14635 0.111
249 14583 14636 0.105
250 14583 14637 3.168
251 14583 14638 1.905
252 14583 14639 4.65
253 14583 14640 1.062
254 14583 14641 0.978
255 14583 14642 1.551
256 14583 14643 2.601
257 14583 14644 3.168
258 14583 14645 1.668
259 14583 14646 1.635
260 14583 14647 3.636
261 14583 14648 1.848
262 14583 14649 1.992
263 14583 14650 1.902
264 14583 14651 0.003
265 14583 14652 0.069
266 14583 14653 4.638
267 14583 14654 2.781
268 14583 14655 1.389
269 14583 14656 0.897
270 14583 14657 0.834
271 14583 14658 1.041
272 14583 14659 0.804
273 14583 14660 1.251
274 14583 14661 0.06
275 14583 14662 0.048
276 14583 14663 0.735
277 14583 14664 0.153
278 14583 14665 0.081
279 14583 14666 0.078
280 14583 14667 1.173
281 14583 14668 0.357
282 14583 14669 0.06
283 14583 14670 0.051
284 14583 14671 3.543
285 14583 14672 3.225
286 14583 14673 2.814
287 14583 14674 0.189
288 14583 14675 0.108
289 14583 14676 1.533
290 14583 14677 0.036
291 14583 14678 0.06
292 14584 14581 4.596
293 14584 14582 2.673
294 14584 14583 5.508
295 14584 14585 7.824
296 14584 14586 7.089
297 14584 14587 3.507
298 14584 14588 2.64
299 14584 14589 1.692
300 14584 14590 7.8
301 14584 14591 14.184
302 14584 14592 2.811
303 14584 14593 2.514
304 14584 14594 5.598
305 14584 14595 6.078
306 14584 14596 2.82
307 14584 14597 3.45
308 14584 14598 5.034
309 14584 14599 7.602
310 14584 14600 8.145
311 14584 14601 6.135
312 14584 14602 0.855
313 14584 14603 1.257
314 14584 14604 2.001
315 14584 14605 2.826
316 14584 14606 2.166
317 14584 14607 1.749
318 14584 14608 0.618
319 14584 14609 1.302
320 14584 14610 0.999
321 14584 14611 1.056
322 14584 14612 0.513
323 14584 14613 3.15
324 14584 14614 3.33
325 14584 14615 3.789
326 14584 14616 2.136
327 14584 14617 3.309
328 14584 14618 0.915
329 14584 14619 2.706
330 14584 14620 3.936
331 14584 14621 2.502
332 14584 14622 3.456
333 14584 14623 2.334
334 14584 14624 0.537
335 14584 14625 0.285
336 14584 14626 0.633
337 14584 14627 0.603
338 14584 14628 0.6
339 14584 14629 0.489
340 14584 14630 0.444
341 14584 14631 0.807
342 14584 14632 0.942
343 14584 14633 0.111
344 14584 14634 0.309
345 14584 14635 0.105
346 14584 14636 0.018
347 14584 14637 1.953
348 14584 14638 1.164
349 14584 14639 3.147
350 14584 14640 0.582
351 14584 14641 0.675
352 14584 14642 0.843
353 14584 14643 1.62
354 14584 14644 1.734
355 14584 14645 0.834
356 14584 14646 0.966
357 14584 14647 1.92
358 14584 14648 1.083
359 14584 14649 0.957
360 14584 14650 1.218
361 14584 14651 0.003
362 14584 14652 0.123
363 14584 14653 1.956
364 14584 14654 1.509
365 14584 14655 0.528
366 14584 14656 0.477
367 14584 14657 0.291
368 14584 14658 0.396
369 14584 14659 0.222
370 14584 14660 0.072
371 14584 14661 0.03
372 14584 14662 0.039
373 14584 14663 0.039
374 14584 14664 0.021
375 14584 14665 0.057
376 14584 14666 0.045
377 14584 14667 0.231
378 14584 14668 0.054
379 14584 14669 0.042
380 14584 14670 0.033
381 14584 14671 1.554
382 14584 14672 1.206
383 14584 14673 1.116
384 14584 14674 0.132
385 14584 14675 0.066
386 14584 14676 0.567
387 14584 14677 0.033
388 14584 14678 0.039
389 14585 14581 5.346
390 14585 14582 3.855
391 14585 14583 10.233
392 14585 14584 7.716
393 14585 14586 5.196
394 14585 14587 3.447
395 14585 14588 2.976
396 14585 14589 2.637
397 14585 14590 5.703
398 14585 14591 14.349
399 14585 14592 3.057
400 14585 14593 2.685
401 14585 14594 6.525
402 14585 14595 3.657
403 14585 14596 2.352
404 14585 14597 3.831
405 14585 14598 8.616
406 14585 14599 18.408
407 14585 14600 12.279
408 14585 14601 15.756
409 14585 14602 1.701
410 14585 14603 2.991
411 14585 14604 4.062
412 14585 14605 4.395
413 14585 14606 2.559
414 14585 14607 3.408
415 14585 14608 1.086
416 14585 14609 2.325
417 14585 14610 0.771
418 14585 14611 1.566
419 14585 14612 0.954
420 14585 14613 4.419
421 14585 14614 4.884
422 14585 14615 8.352
