# id node_number1 node_number2 value
1 14581 14582 14.52
2 14581 14583 55.61
3 14581 14584 75.59
4 14581 14585 67.54
5 14581 14586 94.31
6 14581 14587 74.33
7 14581 14588 24.88
8 14581 14589 11.42
9 14581 14590 28.69
10 14581 14591 30.33
11 14581 14592 5.08
12 14581 14593 3.48
13 14581 14594 7.58
14 14581 14595 7.98
15 14581 14596 10.26
16 14581 14597 1.26
17 14581 14598 3.13
18 14581 14599 6.57
19 14581 14600 2.57
20 14581 14601 40.16
21 14581 14602 29.24
22 14581 14603 69.6
23 14581 14604 12.74
24 14581 14605 19.18
25 14581 14606 18.73
26 14581 14607 40.82
27 14581 14608 47.69
28 14581 14609 3.13
29 14581 14610 3.09
30 14581 14611 10.79
31 14581 14612 6.65
32 14581 14613 5.53
33 14581 14614 6.39
34 14581 14616 3.15
35 14581 14617 9.25
36 14581 14618 7.29
37 14581 14619 2.82
38 14582 14581 15.22
39 14582 14583 15.92
40 14582 14584 22.31
41 14582 14585 24.09
42 14582 14586 21.5
43 14582 14587 24.21
44 14582 14588 5.89
45 14582 14589 3.55
46 14582 14590 6.96
47 14582 14591 9.43
48 14582 14592 1.52
49 14582 14593 1.16
50 14582 14594 2.24
51 14582 14595 2.5
52 14582 14596 2.89
53 14582 14597 0.43
54 14582 14598 0.98
55 14582 14599 1.61
56 14582 14600 0.82
57 14582 14601 10.25
58 14582 14602 7.47
59 14582 14603 13.02
60 14582 14604 3.55
61 14582 14605 4.8
62 14582 14606 6.04
63 14582 14607 9.77
64 14582 14608 15.44
65 14582 14609 1.01
66 14582 14610 1
67 14582 14611 3.23
68 14582 14612 2.07
69 14582 14613 1.78
70 14582 14614 1.96
71 14582 14616 0.73
72 14582 14617 3.7
73 14582 14618 2.14
74 14582 14619 1.26
75 14583 14581 56.31
76 14583 14582 15.37
77 14583 14584 97.8
78 14583 14585 67.66
79 14583 14586 66.1
80 14583 14587 59.73
81 14583 14588 22.89
82 14583 14589 13.44
83 14583 14590 28.67
84 14583 14591 34.68
85 14583 14592 6.17
86 14583 14593 4.49
87 14583 14594 9.76
88 14583 14595 9.98
89 14583 14596 12.08
90 14583 14597 1.86
91 14583 14598 4.2
92 14583 14599 8.57
93 14583 14600 4.01
94 14583 14601 41.93
95 14583 14602 27.11
96 14583 14603 62.1
97 14583 14604 10.83
98 14583 14605 20.48
99 14583 14606 20.6
100 14583 14607 36.96
101 14583 14608 50.93
102 14583 14609 3.56
103 14583 14610 3.52
104 14583 14611 12.45
105 14583 14612 8.04
106 14583 14613 6.66
107 14583 14614 7.4
108 14583 14616 3.72
109 14583 14617 11.19
110 14583 14618 9.56
111 14583 14619 4.02
112 14584 14581 75.14
113 14584 14582 21.1
114 14584 14583 96.08
115 14584 14585 90.27
116 14584 14586 95.78
117 14584 14587 104.68
118 14584 14588 22.9
119 14584 14589 12.62
120 14584 14590 26.34
121 14584 14591 37.9
122 14584 14592 4.68
123 14584 14593 3.11
124 14584 14594 7.03
125 14584 14595 7.65
126 14584 14596 10.54
127 14584 14597 0.95
128 14584 14598 2.47
129 14584 14599 5.24
130 14584 14600 2.05
131 14584 14601 34.55
132 14584 14602 33.09
133 14584 14603 71.29
134 14584 14604 14.71
135 14584 14605 16.87
136 14584 14606 20.8
137 14584 14607 35.59
138 14584 14608 53.9
139 14584 14609 2.91
140 14584 14610 2.73
141 14584 14611 10.01
142 14584 14612 5.72
143 14584 14613 5.15
144 14584 14614 6.07
145 14584 14616 2.43
146 14584 14617 9.57
147 14584 14618 4.3
148 14584 14619 2.4
149 14585 14581 67.95
150 14585 14582 23.11
151 14585 14583 67.21
152 14585 14584 91.31
153 14585 14586 107.65
154 14585 14587 72.25
155 14585 14588 28.19
156 14585 14589 13.25
157 14585 14590 34.91
158 14585 14591 38.28
159 14585 14592 5.95
160 14585 14593 4.13
161 14585 14594 10
162 14585 14595 10.01
163 14585 14596 12.87
164 14585 14597 1.5
165 14585 14598 3.7
166 14585 14599 8.01
167 14585 14600 3.5
168 14585 14601 39.49
