# id node_number1 node_number2 value
1 14666 14667 5.89
2 14666 14668 0.47
3 14666 14669 1.83
4 14666 14670 14.14
5 14666 14671 7.57
6 14666 14672 11.99
7 14666 14673 11.41
8 14666 14674 5.48
9 14666 14675 8.31
10 14666 14676 17.61
11 14666 14677 16.46
12 14666 14678 13.75
13 14666 14679 8.09
14 14666 14680 9.81
15 14666 14681 11.83
16 14666 14682 1.58
17 14666 14684 0.02
18 14666 14685 0.05
19 14666 14687 0.14
20 14666 14688 0.65
21 14666 14689 0.33
22 14666 14690 0.08
23 14666 14691 0.67
24 14667 14666 5.65
25 14667 14668 10.38
26 14667 14669 11.89
27 14667 14670 66.15
28 14667 14671 41.01
29 14667 14672 69
30 14667 14673 58.91
31 14667 14674 38.3
32 14667 14675 54.58
33 14667 14676 124.17
34 14667 14677 90.55
35 14667 14678 87.75
36 14667 14679 54.55
37 14667 14680 72.35
38 14667 14681 72.83
39 14667 14682 22.75
40 14667 14683 4.92
41 14667 14684 0.21
42 14667 14685 0.83
43 14667 14686 1.01
44 14667 14687 1.78
45 14667 14688 6.87
46 14667 14689 3.8
47 14667 14690 0.95
48 14667 14691 7.98
49 14668 14666 0.49
50 14668 14667 10.2
51 14668 14669 3.68
52 14668 14670 22.59
53 14668 14671 11.19
54 14668 14672 18.32
55 14668 14673 12.93
56 14668 14674 10.91
57 14668 14675 12.04
58 14668 14676 21.82
59 14668 14677 19.89
60 14668 14678 19.45
61 14668 14679 11.08
62 14668 14680 15.22
63 14668 14681 19.53
64 14668 14682 3.73
65 14668 14683 0.46
66 14668 14684 0.03
67 14668 14685 0.13
68 14668 14686 0.1
69 14668 14687 0.31
70 14668 14688 1.22
71 14668 14689 0.52
72 14668 14690 0.21
73 14668 14691 1.52
74 14669 14666 1.75
75 14669 14667 11.96
76 14669 14668 3.77
77 14669 14670 11.12
78 14669 14671 5.36
79 14669 14672 11.63
80 14669 14673 7.74
81 14669 14674 5.38
82 14669 14675 9.84
83 14669 14676 20.56
84 14669 14677 11.08
85 14669 14678 10.75
86 14669 14679 7.49
87 14669 14680 9.53
88 14669 14681 11.8
89 14669 14682 7.04
90 14669 14683 2.49
91 14669 14684 0.03
92 14669 14685 0.28
93 14669 14686 0.74
94 14669 14687 0.44
95 14669 14688 1.11
96 14669 14689 0.71
97 14669 14690 0.37
98 14669 14691 2.57
99 14670 14666 15
100 14670 14667 65.25
101 14670 14668 22.5
102 14670 14669 10.55
103 14670 14671 17.68
104 14670 14672 41.82
105 14670 14673 24.39
106 14670 14674 27.87
107 14670 14675 46.36
108 14670 14676 86.27
109 14670 14677 47.42
110 14670 14678 45.27
111 14670 14679 32.58
112 14670 14680 43.27
113 14670 14681 39.95
114 14670 14682 38.19
115 14670 14683 13.96
116 14670 14684 0.23
117 14670 14685 1.47
118 14670 14686 3.04
119 14670 14687 2.14
120 14670 14688 4.8
121 14670 14689 4.47
122 14670 14690 1.17
123 14670 14691 9.07
124 14671 14666 7.26
125 14671 14667 41.24
126 14671 14668 11.5
127 14671 14669 5.4
128 14671 14670 20.79
129 14671 14672 23.93
130 14671 14673 9.21
131 14671 14674 14.43
132 14671 14675 22.7
133 14671 14676 39.21
134 14671 14677 21.34
135 14671 14678 25.96
136 14671 14679 16.95
137 14671 14680 20.23
138 14671 14681 16.93
139 14671 14682 20.32
140 14671 14683 7.38
141 14671 14684 0.1
142 14671 14685 0.73
143 14671 14686 1.61
144 14671 14687 0.99
145 14671 14688 1.81
146 14671 14689 2.05
147 14671 14690 0.51
148 14671 14691 3.83
149 14672 14666 12.71
150 14672 14667 67.93
151 14672 14668 18.25
152 14672 14669 11.04
153 14672 14670 42
154 14672 14671 21
155 14672 14673 23.91
156 14672 14674 29.82
157 14672 14675 40.92
158 14672 14676 68.8
159 14672 14677 54.28
160 14672 14678 40.59
161 14672 14679 24.21
162 14672 14680 41.65
163 14672 14681 46.22
164 14672 14682 28.1
165 14672 14683 11.75
166 14672 14684 0.21
167 14672 14685 1.29
168 14672 14686 2.71
169 14672 14687 2.09
170 14672 14688 5.25
171 14672 14689 4.21
172 14672 14690 1.31
173 14672 14691 10.47
174 14673 14666 10.96
175 14673 14667 59.23
176 14673 14668 13.26
177 14673 14669 7.77
178 14673 14670 27.94
179 14673 14671 9.22
180 14673 14672 26.72
181 14673 14674 19.83
182 14673 14675 27.89
183 14673 14676 41.35
184 14673 14677 28.14
185 14673 14678 31.1
186 14673 14679 19.81
187 14673 14680 26.73
188 14673 14681 23.53
189 14673 14682 26.4
190 14673 14683 10.39
191 14673 14684 0.13
192 14673 14685 1.01
193 14673 14686 2.35
194 14673 14687 1.38
195 14673 14688 2.74
196 14673 14689 2.77
197 14673 14690 0.81
198 14673 14691 5.9
199 14674 14666 5.8
200 14674 14667 37.35
201 14674 14668 10.91
202 14674 14669 4.96
203 14674 14670 29.21
204 14674 14671 11.87
205 14674 14672 30.82
206 14674 14673 16.69
207 14674 14675 16.88
208 14674 14676 46.89
209 14674 14677 20.52
210 14674 14678 27.81
211 14674 14679 18.59
212 14674 14680 24.4
213 14674 14681 18.95
214 14674 14682 15.32
215 14674 14683 6.43
216 14674 14684 0.1
217 14674 14685 0.83
218 14674 14686 2.04
219 14674 14687 1.31
220 14674 14688 2.78
221 14674 14689 2.22
222 14674 14690 0.95
223 14674 14691 7.54
224 14675 14666 7.97
225 14675 14667 54.75
226 14675 14668 12.39
227 14675 14669 9.83
228 14675 14670 51.59
229 14675 14671 22.57
230 14675 14672 45.06
231 14675 14673 27.72
232 14675 14674 19.24
233 14675 14676 52.2
234 14675 14677 33.31
235 14675 14678 48.57
236 14675 14679 25.42
237 14675 14680 41.17
238 14675 14681 32.54
239 14675 14682 17.02
240 14675 14683 8.41
241 14675 14684 0.15
242 14675 14685 1.05
243 14675 14686 2.4
244 14675 14687 1.76
245 14675 14688 4.61
246 14675 14689 3.14
247 14675 14690 1.27
248 14675 14691 9.96
249 14676 14666 18.68
250 14676 14667 122.38
251 14676 14668 21.73
252 14676 14669 19.59
253 14676 14670 86.27
254 14676 14671 34.58
255 14676 14672 68.57
256 14676 14673 37.18
257 14676 14674 45.19
258 14676 14675 47.54
259 14676 14677 67.27
260 14676 14678 82.07
261 14676 14679 45.05
262 14676 14680 68.44
263 14676 14681 75.29
264 14676 14682 41
265 14676 14683 19.36
266 14676 14684 0.28
267 14676 14685 1.98
268 14676 14686 4.51
269 14676 14687 3.05
270 14676 14688 7.39
271 14676 14689 5.71
272 14676 14690 2.05
273 14676 14691 15.09
274 14677 14666 15.79
275 14677 14667 91.03
276 14677 14668 20.39
277 14677 14669 11.14
278 14677 14670 53.56
279 14677 14671 21.33
280 14677 14672 59.98
281 14677 14673 28.11
282 14677 14674 24.1
283 14677 14675 33.49
284 14677 14676 73.98
285 14677 14678 47.57
286 14677 14679 35.46
287 14677 14680 39.57
288 14677 14681 38.76
289 14677 14682 38.7
290 14677 14683 20
291 14677 14684 0.21
292 14677 14685 1.75
293 14677 14686 4.69
294 14677 14687 2.37
295 14677 14688 4.48
296 14677 14689 4.16
297 14677 14690 1.71
298 14677 14691 11.87
299 14678 14666 14.57
300 14678 14667 86.5
301 14678 14668 19.37
302 14678 14669 10.16
303 14678 14670 45.39
304 14678 14671 21.77
305 14678 14672 40.48
306 14678 14673 26.85
307 14678 14674 26.54
308 14678 14675 43.42
309 14678 14676 82.21
310 14678 14677 41.67
311 14678 14679 23.18
312 14678 14680 29.51
313 14678 14681 38.87
314 14678 14682 34.42
315 14678 14683 14.62
316 14678 14684 0.25
317 14678 14685 1.63
