maxN: 24
maxL: 91
m: 250


linkO: 		[1	1	2	2	3	3	3	4	4	4	5	5	5	6	6	6	7	7	8	8	8	8	9	9	9	10	10	10	10	10	11	11	11	11	12	12	12	13	13	14	14	14	15	15	15	15	16	16	16	16	17	17	17	18	18	18	19	19	19	20	20	20	20	21	21	21	22	22	22	22	23	23	23	24	24	24	13	14	11	15	22	19	9	11	7	16	2	5	22	15	17]
linkD: 		[2	3	1	6	1	4	12	3	5	11	4	6	9	2	5	8	8	18	6	7	9	16	5	8	10	9	11	15	16	17	4	10	12	14	3	11	13	12	24	11	15	23	10	14	19	22	8	10	17	18	10	16	19	7	16	20	15	17	20	18	19	21	22	20	22	24	15	20	21	23	14	22	24	13	21	23	14	13	15	11	19	22	11	9	16	7	5	2	14	17	15]
linkTime: 	[6	4	6	5	4	4	4	4	2	6	2	4	5	5	4	2	3	2	2	3	10	5	5	10	3	3	5	6	4	8	6	5	6	4	4	6	3	3	4	4	5	4	6	5	3	3	5	4	2	3	8	2	2	2	3	4	3	2	4	4	4	6	5	6	2	3	3	5	2	4	4	4	2	4	3	2	6	6	5	5	5	5	4	4	4	4	4	3	5	5	5]
linkType: 	[1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0]
linkCost: 	[0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	15	10	10	10	10	10	10	10	10	8	8	10	9	9]
linkCongest:	[2	2	2	1241	2	7	2	7	3	1550	3	1001	75	1241	1001	521	119	1	521	119	2306	1157	75	2306	12	12	75	27	1080	1930	1550	75	1550	1061	2	1550	1	1	893	1061	1085	1020	27	1085	10	53	1157	1080	401	3	1930	401	554	1	3	2	10	554	958	2	958	1373	1130	1373	401	790	53	1130	401	960	1020	960	451	893	790	451	35	35	22	22	127	127	312	312	44	44	88	88	444	167	167]




maxD: 528

demandO:  [1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	13	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	14	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	16	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	21	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	22	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	23	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24]					!R
