[1, 117] = 7074.899983
[2, 87] = 9662.499895
[3, 74] = 7669.000034
[4, 233] = 12173.799934
[5, 165] = 2586.800015
[6, 213] = 6576.599991
[7, 253] = 7137.100122
[8, 411] = 722.099996
[9, 379] = 1486.199994
[9, 395] = 751.300008
[10, 338] = 105.100001
[10, 362] = 44.200001
[11, 309] = 485.799996
[12, 275] = 488.200004
[13, 262] = 37.000000
[14, 257] = 125.200000
[15, 254] = 407.099998
[16, 263] = 249.000003
[17, 276] = 648.300002
[18, 322] = 2218.300004
[18, 348] = 650.500009
[19, 364] = 723.499998
[19, 380] = 314.499999
[20, 397] = 503.599995
[21, 412] = 1347.000029
[21, 413] = 1294.800000
[22, 414] = 375.099996
[22, 415] = 1149.300000
[23, 416] = 1522.499995
[24, 266] = 5639.699984
[24, 267] = 4189.299981
[25, 268] = 5906.300034
[25, 269] = 5036.300004
[26, 273] = 4679.900193
[26, 274] = 1421.000003
[27, 302] = 3014.299935
[27, 303] = 3082.699978
[28, 303] = 3497.499923
[28, 304] = 3891.199968
[29, 308] = 8081.300118
[29, 337] = 7976.899986
[30, 340] = 2605.800072
[30, 341] = 3041.300000
[31, 329] = 3721.600043
[31, 330] = 3638.999961
[32, 332] = 3567.999909
[32, 333] = 1496.399975
[33, 337] = 7983.799980
[33, 361] = 6444.599968
[34, 369] = 3945.099997
[34, 385] = 2425.299956
[35, 373] = 2916.100120
[35, 389] = 1634.300006
[36, 378] = 4186.200000
[36, 394] = 4185.699968
[37, 401] = 6308.499971
[37, 402] = 1843.500012
[38, 406] = 6023.900112
[38, 407] = 3407.199996
[39, 266] = 0.000000
[39, 267] = 0.000000
[40, 268] = 0.000000
[40, 269] = 0.000000
[41, 273] = 0.000000
[41, 274] = 0.000000
[42, 302] = 0.000000
[42, 303] = 0.000000
[43, 303] = 0.000000
[43, 304] = 0.000000
[44, 308] = 0.000000
[44, 337] = 0.000000
[45, 340] = 0.000000
[45, 341] = 0.000000
[46, 329] = 0.000000
[46, 330] = 0.000000
[47, 332] = 0.000000
[47, 333] = 0.000000
[48, 337] = 0.000000
[48, 361] = 0.000000
[49, 369] = 0.000000
[49, 385] = 0.000000
[50, 373] = 0.000000
[50, 389] = 0.000000
[51, 378] = 0.000000
[51, 394] = 0.000000
[52, 401] = 0.000000
[52, 402] = 0.000000
[53, 406] = 0.000000
[53, 407] = 0.000000
[54, 56] = 610.599997
[54, 230] = 114.799999
[55, 59] = 2187.900007
[56, 102] = 1995.499995
[57, 54] = 725.399997
[57, 235] = 1676.200014
[58, 137] = 2480.700047
[58, 145] = 4669.299953
[59, 146] = 2187.900007
[60, 102] = 0.000000
[60, 230] = 2184.899984
[61, 136] = 2122.700058
[62, 2] = 13602.200178
[63, 62] = 13602.200178
[64, 63] = 5855.500055
[64, 189] = 37.000000
[65, 64] = 5892.500055
[66, 65] = 5892.500055
[67, 66] = 4579.700006
[67, 260] = 0.000000
[68, 67] = 4579.700006
[69, 68] = 4525.900007
[69, 258] = 11.000000
[70, 69] = 4536.900007
[71, 70] = 4474.100007
[71, 255] = 1949.000038
[72, 71] = 6423.100045
[73, 72] = 1480.500031
[73, 141] = 6188.500004
[74, 73] = 7669.000034
[75, 3] = 5676.599955
[76, 75] = 5676.599955
[77, 76] = 2169.199970
[77, 141] = 1868.199973
[78, 77] = 4037.399943
[79, 78] = 2298.199949
[79, 256] = 567.299988
[80, 79] = 2865.499937
[81, 80] = 2855.499937
[81, 259] = 1.000000
[82, 81] = 2856.499937
[83, 82] = 2856.499937
[83, 261] = 1047.199923
[84, 83] = 3903.699860
[85, 84] = 3903.699860
[86, 85] = 3903.699860
[86, 189] = 5758.800035
[87, 86] = 9662.499895
[88, 1] = 8327.999893
[89, 88] = 8327.999893
[90, 89] = 5408.599891
[90, 293] = 189.799998
[91, 90] = 5598.399889
[92, 91] = 5598.399889
[93, 92] = 2701.299994
[93, 183] = 1555.599987
[93, 195] = 0.000000
[94, 93] = 4256.899981
[95, 94] = 1995.499995
[95, 290] = 0.000000
[96, 95] = 1995.499995
[97, 96] = 1995.499995
[97, 288] = 0.000000
[98, 97] = 1995.499995
[99, 98] = 1995.499995
[99, 283] = 0.000000
[100, 99] = 1995.499995
[101, 100] = 1995.499995
[101, 278] = 0.000000
[102, 101] = 1995.499995
[103, 59] = 0.000000
[103, 61] = 2122.700058
[103, 237] = 1279.100025
[104, 103] = 3401.800083
[105, 104] = 3401.800083
[105, 279] = 0.000000
[106, 105] = 3401.800083
[107, 106] = 3401.800083
[107, 284] = 0.000000
[108, 107] = 3401.800083
[109, 108] = 3401.800083
[109, 289] = 0.000000
[110, 109] = 3401.800083
[111, 110] = 3401.800083
[111, 291] = 893.999994
[112, 111] = 4295.800077
[113, 112] = 1816.399995
[113, 183] = 0.000000
